product_name,size,milk,whip,serv_size_m_l,calories,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,caffeine_mg,calories_per_ml,sugar_to_calorie_ratio,Beverage_Category
brewed coffee - dark roast,short,None,0,236,3,0.1,0.0,0.0,0,5,0,0,0,130,0.012711864406779662,0.0,Coffee
brewed coffee - dark roast,tall,None,0,354,4,0.1,0.0,0.0,0,10,0,0,0,193,0.011299435028248588,0.0,Coffee
brewed coffee - dark roast,grande,None,0,473,5,0.1,0.0,0.0,0,10,0,0,0,260,0.010570824524312896,0.0,Coffee
brewed coffee - dark roast,venti,None,0,591,5,0.1,0.0,0.0,0,10,0,0,0,340,0.008460236886632826,0.0,Coffee
brewed coffee - decaf pike place roast,short,None,0,236,3,0.1,0.0,0.0,0,5,0,0,0,15,0.012711864406779662,0.0,Coffee
brewed coffee - decaf pike place roast,tall,None,0,354,4,0.1,0.0,0.0,0,10,0,0,0,20,0.011299435028248588,0.0,Coffee
brewed coffee - decaf pike place roast,grande,None,0,473,5,0.1,0.0,0.0,0,10,0,0,0,25,0.010570824524312896,0.0,Coffee
brewed coffee - decaf pike place roast,venti,None,0,591,5,0.1,0.0,0.0,0,10,0,0,0,30,0.008460236886632826,0.0,Coffee
brewed coffee - medium roast,short,None,0,236,3,0.1,0.0,0.0,0,5,0,0,0,155,0.012711864406779662,0.0,Coffee
brewed coffee - medium roast,tall,None,0,354,4,0.1,0.0,0.0,0,5,0,0,0,235,0.011299435028248588,0.0,Coffee
brewed coffee - medium roast,grande,None,0,473,5,0.1,0.0,0.0,0,5,0,0,0,310,0.010570824524312896,0.0,Coffee
brewed coffee - medium roast,venti,None,0,591,5,0.1,0.0,0.0,0,5,0,0,0,410,0.008460236886632826,0.0,Coffee
brewed coffee - True North Blend Blonde roast,short,None,0,236,3,0.1,0.0,0.0,0,5,0,0,0,180,0.012711864406779662,0.0,Coffee
brewed coffee - True North Blend Blonde roast,tall,None,0,354,4,0.1,0.0,0.0,0,5,0,0,0,270,0.011299435028248588,0.0,Coffee
brewed coffee - True North Blend Blonde roast,grande,None,0,473,5,0.1,0.0,0.0,0,5,0,0,0,360,0.010570824524312896,0.0,Coffee
brewed coffee - True North Blend Blonde roast,venti,None,0,591,5,0.1,0.0,0.0,0,5,0,0,0,475,0.008460236886632826,0.0,Coffee
Caffè Misto,short,Nonfat,0,236,35,0.1,0.1,0.0,0,45,5,0,5,75,0.1483050847457627,0.14285714285714285,Other
Caffè Misto,short,2%,0,236,50,2.0,1.0,0.1,10,50,5,0,5,75,0.211864406779661,0.1,Other
Caffè Misto,short,Whole,0,236,70,3.5,2.0,0.1,10,50,5,0,5,75,0.2966101694915254,0.07142857142857142,Other
