team,no_of_matches,no_of_home_matches,no_of_away_matches,no_of_home_wins,no_of_home_losses,no_of_away_wins,no_of_away_losses
West Indies,204,98,106,41,57,54,52
Sri Lanka,264,123,141,78,45,76,65
Australia,261,140,121,95,45,85,36
South Africa,259,124,135,81,43,96,39
England,188,89,99,34,55,54,45
New Zealand,227,114,113,45,69,56,57
Zimbabwe,230,120,110,33,87,32,78
Kenya,64,37,27,8,29,4,23
United Arab Emirates,7,2,5,0,2,0,5
Netherlands,13,5,8,1,4,0,8
Pakistan,305,164,141,102,62,72,69
India,319,155,164,77,78,83,81
Bangladesh,101,53,48,7,46,3,45
Scotland,5,3,2,0,3,0,2
Canada,6,5,1,1,4,0,1
United States of America,2,1,1,0,1,0,1
ICC World XI,4,1,3,1,0,0,3
Africa XI,3,2,1,1,1,0,1
Asia XI,4,1,3,1,0,0,3
Namibia,6,0,6,0,0,0,6
Hong Kong,2,0,2,0,0,0,2
