team,match_type,count
West Indies,Home Wins,41
Sri Lanka,Home Wins,78
Australia,Home Wins,95
South Africa,Home Wins,81
England,Home Wins,34
New Zealand,Home Wins,45
Zimbabwe,Home Wins,33
Kenya,Home Wins,8
United Arab Emirates,Home Wins,0
Netherlands,Home Wins,1
Pakistan,Home Wins,102
India,Home Wins,77
Bangladesh,Home Wins,7
Scotland,Home Wins,0
Canada,Home Wins,1
United States of America,Home Wins,0
ICC World XI,Home Wins,1
Africa XI,Home Wins,1
Asia XI,Home Wins,1
Namibia,Home Wins,0
Hong Kong,Home Wins,0
West Indies,Home Losses,57
Sri Lanka,Home Losses,45
Australia,Home Losses,45
South Africa,Home Losses,43
England,Home Losses,55
New Zealand,Home Losses,69
Zimbabwe,Home Losses,87
Kenya,Home Losses,29
United Arab Emirates,Home Losses,2
Netherlands,Home Losses,4
Pakistan,Home Losses,62
India,Home Losses,78
Bangladesh,Home Losses,46
Scotland,Home Losses,3
Canada,Home Losses,4
United States of America,Home Losses,1
ICC World XI,Home Losses,0
Africa XI,Home Losses,1
Asia XI,Home Losses,0
Namibia,Home Losses,0
Hong Kong,Home Losses,0
West Indies,Away Wins,54
Sri Lanka,Away Wins,76
Australia,Away Wins,85
South Africa,Away Wins,96
England,Away Wins,54
New Zealand,Away Wins,56
Zimbabwe,Away Wins,32
Kenya,Away Wins,4
United Arab Emirates,Away Wins,0
Netherlands,Away Wins,0
Pakistan,Away Wins,72
India,Away Wins,83
Bangladesh,Away Wins,3
Scotland,Away Wins,0
Canada,Away Wins,0
United States of America,Away Wins,0
ICC World XI,Away Wins,0
Africa XI,Away Wins,0
Asia XI,Away Wins,0
Namibia,Away Wins,0
Hong Kong,Away Wins,0
West Indies,Away Losses,52
Sri Lanka,Away Losses,65
Australia,Away Losses,36
South Africa,Away Losses,39
England,Away Losses,45
New Zealand,Away Losses,57
Zimbabwe,Away Losses,78
Kenya,Away Losses,23
United Arab Emirates,Away Losses,5
Netherlands,Away Losses,8
Pakistan,Away Losses,69
India,Away Losses,81
Bangladesh,Away Losses,45
Scotland,Away Losses,2
Canada,Away Losses,1
United States of America,Away Losses,1
ICC World XI,Away Losses,3
Africa XI,Away Losses,1
Asia XI,Away Losses,3
Namibia,Away Losses,6
Hong Kong,Away Losses,2
